WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_7P,3190.1892,2951.1494,94.445,0.18,2.535,74.275,0.5075,0.065,3
RD_7P,3190.2654,2951.2211,95.702,0.183,2.534,74.505,0.5095,0.0656,3
RD_7P,3190.3416,2951.2929,96.938,0.186,2.535,74.774,0.5221,0.0647,3
RD_7P,3190.4178,2951.3646,98.323,0.188,2.539,75.088,0.5404,0.062,3
RD_7P,3190.494,2951.4363,100.055,0.189,2.546,75.422,0.5614,0.0575,3
RD_7P,3190.5702,2951.5081,102.066,0.187,2.552,75.736,0.5763,0.0537,3
RD_7P,3190.6464,2951.5798,103.892,0.185,2.558,76.013,0.5814,0.0501,5
RD_7P,3190.7226,2951.6516,105.054,0.183,2.563,76.258,0.5844,0.0472,5
RD_7P,3190.7988,2951.7233,105.47,0.182,2.565,76.465,0.5816,0.0461,5
RD_7P,3190.875,2951.7951,105.403,0.182,2.565,76.61,0.5782,0.0462,5
RD_7P,3190.9512,2951.8668,105.242,0.182,2.564,76.696,0.5762,0.0468,5
RD_7P,3191.0274,2951.9386,105.275,0.182,2.564,76.75,0.5762,0.0468,5
RD_7P,3191.1036,2952.0103,105.443,0.183,2.563,76.798,0.5743,0.0474,5
RD_7P,3191.1798,2952.082,105.537,0.184,2.564,76.842,0.5798,0.0466,5
RD_7P,3191.256,2952.1538,105.446,0.186,2.565,76.869,0.5854,0.0459,5
RD_7P,3191.3322,2952.2255,105.221,0.187,2.567,76.875,0.5964,0.0445,5
RD_7P,3191.4084,2952.2973,105.049,0.187,2.569,76.868,0.6039,0.0432,5
RD_7P,3191.4846,2952.369,105.123,0.187,2.572,76.865,0.61,0.0414,5
RD_7P,3191.5608,2952.4408,105.392,0.185,2.576,76.883,0.618,0.0389,5
RD_7P,3191.637,2952.5126,105.632,0.183,2.579,76.927,0.617,0.0372,5
RD_7P,3191.7132,2952.5844,105.72,0.18,2.582,76.978,0.616,0.0355,5
RD_7P,3191.7894,2952.6562,105.753,0.177,2.584,76.997,0.6096,0.0344,5
RD_7P,3191.8656,2952.728,105.752,0.174,2.583,76.958,0.597,0.0353,5
RD_7P,3191.9418,2952.7998,105.669,0.171,2.581,76.868,0.5824,0.0368,5
RD_7P,3192.018,2952.8716,105.539,0.169,2.578,76.755,0.5658,0.0389,5
RD_7P,3192.0942,2952.9434,105.352,0.168,2.575,76.64,0.5526,0.0409,5
RD_7P,3192.1704,2953.0152,105.079,0.169,2.572,76.525,0.5429,0.0428,5
RD_7P,3192.2466,2953.087,104.87,0.17,2.569,76.407,0.5401,0.0445,5
RD_7P,3192.3228,2953.1588,104.824,0.173,2.567,76.299,0.5396,0.0457,5
RD_7P,3192.399,2953.2306,104.941,0.176,2.564,76.226,0.5438,0.0473,5
RD_7P,3192.4752,2953.3024,105.149,0.179,2.562,76.203,0.5503,0.0484,5
RD_7P,3192.5514,2953.3742,105.444,0.18,2.559,76.228,0.5548,0.05,5
RD_7P,3192.6276,2953.446,105.814,0.18,2.558,76.303,0.5568,0.0506,5
RD_7P,3192.7038,2953.5178,106.248,0.176,2.558,76.446,0.557,0.0506,5
RD_7P,3192.78,2953.5896,106.595,0.172,2.56,76.66,0.5481,0.0496,5
RD_7P,3192.8562,2953.6614,106.543,0.169,2.563,76.912,0.54,0.0481,5
RD_7P,3192.9324,2953.7332,105.897,0.169,2.567,77.161,0.5372,0.0458,5
RD_7P,3193.0086,2953.805,104.918,0.173,2.571,77.393,0.5443,0.0434,5
RD_7P,3193.0848,2953.8768,104.044,0.178,2.575,77.62,0.5651,0.0406,5
RD_7P,3193.161,2953.9486,103.89,0.181,2.579,77.859,0.5904,0.0377,5
RD_7P,3193.2372,2954.0204,105.038,0.182,2.583,78.104,0.6098,0.035,5
RD_7P,3193.3134,2954.0922,107.552,0.18,2.587,78.319,0.6221,0.0324,5
RD_7P,3193.3896,2954.164,110.776,0.177,2.588,78.473,0.6183,0.0319,5
RD_7P,3193.4658,2954.2358,113.702,0.176,2.588,78.574,0.6082,0.0321,5
RD_7P,3193.542,2954.3076,115.432,0.176,2.587,78.651,0.6017,0.0328,5
RD_7P,3193.6182,2954.3794,115.579,0.178,2.583,78.716,0.5932,0.0354,5
RD_7P,3193.6944,2954.4512,114.339,0.179,2.579,78.755,0.5913,0.0377,5
RD_7P,3193.7706,2954.523,112.355,0.178,2.576,78.733,0.5892,0.0395,5
RD_7P,3193.8468,2954.5948,110.401,0.174,2.574,78.641,0.5827,0.0408,5
RD_7P,3193.923,2954.6666,109.086,0.17,2.574,78.506,0.5702,0.0411,5
RD_7P,3193.9992,2954.7384,108.491,0.166,2.576,78.342,0.5602,0.0401,5
RD_7P,3194.0754,2954.8102,108.333,0.165,2.578,78.128,0.5501,0.0392,5
RD_7P,3194.1516,2954.882,108.255,0.166,2.577,77.827,0.5429,0.0399,5
RD_7P,3194.2278,2954.9538,107.906,0.169,2.573,77.419,0.5371,0.0423,5
RD_7P,3194.304,2955.0256,106.972,0.172,2.567,76.91,0.5344,0.0458,5
RD_7P,3194.3802,2955.0974,105.467,0.175,2.56,76.338,0.5308,0.0499,5
RD_7P,3194.4564,2955.1692,103.686,0.177,2.555,75.768,0.5313,0.0528,5
RD_7P,3194.5326,2955.241,102.117,0.178,2.553,75.272,0.535,0.0539,5
RD_7P,3194.6088,2955.3128,101.158,0.179,2.554,74.91,0.5412,0.0531,5
RD_7P,3194.685,2955.3846,100.989,0.18,2.559,74.709,0.5548,0.0499,5
RD_7P,3194.7612,2955.4564,101.497,0.181,2.565,74.656,0.5704,0.0461,5
RD_7P,3194.8374,2955.5282,102.491,0.182,2.57,74.73,0.584,0.0429,5
RD_7P,3194.9136,2955.6,103.711,0.18,2.574,74.913,0.5955,0.0404,5
