WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_2P_P,3454.8,3134.435,118.8779,0.21,2.6258,82.6164,0.7644,0.0151,5
RD_2P_P,3454.95,3134.5615,118.5274,0.2124,2.6094,81.5934,0.7334,0.02,5
RD_2P_P,3455.1,3134.688,121.4173,0.2051,2.606,80.9322,0.7122,0.0191,5
RD_2P_P,3455.25,3134.8145,120.1081,0.1982,2.6104,81.1593,0.6978,0.0163,5
RD_2P_P,3455.4,3134.941,115.1831,0.1912,2.6158,81.1215,0.6972,0.0173,5
RD_2P_P,3455.55,3135.0676,109.9895,0.1961,2.6136,81.379,0.6976,0.0254,5
RD_2P_P,3455.7,3135.1941,107.8224,0.2146,2.608,81.565,0.6848,0.0391,5
RD_2P_P,3455.85,3135.3206,106.2973,0.2334,2.6054,81.4379,0.6935,0.041,5
RD_2P_P,3456,3135.4471,107.7307,0.2347,2.5996,82.0941,0.692,0.0371,5
RD_2P_P,3456.15,3135.5736,107.0202,0.2253,2.5996,82.777,0.7667,0.0194,5
RD_2P_P,3456.3,3135.7001,115.2747,0.2226,2.614,82.8867,0.7837,0.016,5
RD_2P_P,3456.45,3135.8267,116.1416,0.23,2.6133,83.3124,0.8191,0.0089,5
RD_2P_P,3456.6,3135.9532,125.3225,0.2336,2.6047,83.4124,0.7749,0.0191,5
RD_2P_P,3456.75,3136.0797,125.2701,0.2286,2.5856,82.973,0.8098,0.0101,5
RD_2P_P,3456.9,3136.2062,123.5456,0.2382,2.5907,83.5368,0.8655,0.0031,5
RD_2P_P,3457.05,3136.3327,123.2226,0.2503,2.6028,83.6076,0.8562,0.0035,5
RD_2P_P,3457.2,3136.4592,120.84,0.2695,2.6135,83.7162,0.8431,0.0048,5
RD_2P_P,3457.35,3136.5857,122.9806,0.2571,2.6246,83.4602,0.8658,0.0028,5
RD_2P_P,3457.5,3136.7123,121.1126,0.2482,2.6301,83.0259,0.8457,0.0044,5
RD_2P_P,3457.65,3136.8388,117.0074,0.2336,2.6408,82.436,0.8,0.0115,5
RD_2P_P,3457.8,3136.9653,116.571,0.243,2.6335,82.0067,0.7934,0.013,5
RD_2P_P,3457.95,3137.0918,110.3934,0.2435,2.6354,81.7973,0.7272,0.033,5
RD_2P_P,3458.1,3137.2183,111.5137,0.2416,2.6258,81.8679,0.7404,0.031,5
RD_2P_P,3458.25,3137.3448,113.836,0.2369,2.6222,82.0465,0.7681,0.0206,5
RD_2P_P,3458.4,3137.4714,117.8051,0.2302,2.6217,82.5372,0.8113,0.0095,5
RD_2P_P,3458.55,3137.5979,120.2195,0.2391,2.6297,82.5208,0.8344,0.0058,5
RD_2P_P,3458.7,3137.7244,119.1641,0.2449,2.6294,82.6685,0.8254,0.007,5
RD_2P_P,3458.85,3137.8509,120.1276,0.2457,2.6167,82.5781,0.8323,0.006,5
RD_2P_P,3459,3137.9774,118.5327,0.238,2.6041,82.4499,0.8103,0.01,5
RD_2P_P,3459.15,3138.1039,117.0336,0.2277,2.5913,82.2077,0.769,0.0208,5
RD_2P_P,3459.3,3138.2305,116.2363,0.2241,2.5837,81.894,0.736,0.0307,5
RD_2P_P,3459.45,3138.357,118.8791,0.2133,2.5722,81.625,0.6885,0.041,5
RD_2P_P,3459.6,3138.4835,122.8126,0.2178,2.5716,81.4368,0.7124,0.038,5
RD_2P_P,3459.75,3138.61,125.1222,0.2306,2.5763,81.5179,0.7658,0.0217,5
RD_2P_P,3459.9,3138.7365,121.873,0.2352,2.5884,81.7332,0.795,0.013,5
RD_2P_P,3460.05,3138.863,117.3295,0.2257,2.6007,82.0074,0.7686,0.0171,5
RD_2P_P,3460.2,3138.9895,119.5051,0.2069,2.5981,82.2074,0.715,0.027,5
RD_2P_P,3460.35,3139.1161,118.5447,0.2141,2.5844,82.355,0.7116,0.0361,5
RD_2P_P,3460.5,3139.2426,119.9786,0.22,2.5718,82.4069,0.7159,0.039,5
RD_2P_P,3460.65,3139.3691,114.9213,0.2316,2.5736,82.337,0.7353,0.0327,5
